# GJJ 模型关键词索引表 (Model Keywords Index)
# 
# 用途说明：
# 1. 统一管理所有模型的关键词（去扩展名、去量化参数）
# 2. 支持模糊搜索和子目录匹配
# 3. 方便维护和扩展
#
# 字段说明：
# - id: 唯一标识符（小写，使用连字符分隔）
# - category: 模型类别 (unet/clip/vae/lora/controlnet/upscaler/audio/embedding)
# - keywords: 搜索关键词（多个用 | 分隔，已去除扩展名和量化参数）
# - display_name: 显示名称（人类可读）
# - description: 描述信息
# - tags: 标签（多个用 | 分隔）
# - priority: 优先级（0-100，数字越大越优先匹配）
#
# 规范化规则：
# 1. 去除扩展名：.safetensors, .ckpt, .pth, .pt, .bin, .gguf, .onnx
# 2. 去除量化参数：_fp8, _fp16, _bf16, _fp4, _nvfp4, _e4m3fn, _scaled, _turbo 等
# 3. 统一使用小写字母和连字符
#
# 示例：
# 原始文件名: "ltx-2.3-22b-distilled_transformer_only_fp8_input_scaled_v3.safetensors"
# 规范化后: "ltx-2.3-22b-distilled-transformer-only"
# 关键词: "ltx|2.3|22b|distilled|transformer|only"

apple-dfn5b-clip-vit-h-14-384	audio	apple|dfn5b|clip|vit|h	Apple Dfn5B Clip Vit H 14 384	Apple Dfn5B Clip Vit H 14 384 (audio)	audio|mmaudio	60
bigvgan-discriminator-optimizer	audio	bigvgan|discriminator|optimizer	Bigvgan Discriminator Optimizer	Bigvgan Discriminator Optimizer (audio)	audio|mmaudio	60
bigvgan-generator	audio	bigvgan|generator	Bigvgan Generator	Bigvgan Generator (audio)	audio|mmaudio	60
campplus	audio	campplus	Campplus	Campplus (audio)	audio|cosyvoice	60
codec	audio	codec	Codec	Codec (audio)	audio|fishaudioS2	60
diffusion-pytorch-model	audio	diffusion|pytorch|model	Diffusion Pytorch Model	Diffusion Pytorch Model (audio)	audio|latentsync	60
flow	audio	flow	Flow	Flow (audio)	audio|cosyvoice	60
flow.decoder.estimator.fp32	audio	flow.decoder.estimator.fp32	Flow.Decoder.Estimator.Fp32	Flow.Decoder.Estimator.Fp32 (audio)	audio|cosyvoice	60
hift	audio	hift	Hift	Hift (audio)	audio|cosyvoice	60
latentsync-syncnet	audio	latentsync|syncnet	Latentsync Syncnet	Latentsync Syncnet (audio)	audio|latentsync	60
latentsync-unet	audio	latentsync|unet	Latentsync Unet	Latentsync Unet (audio)	audio|latentsync	60
llm	audio	llm	Llm	Llm (audio)	audio|cosyvoice	60
llm.rl	audio	llm.rl	Llm.Rl	Llm.Rl (audio)	audio|cosyvoice	60
lq-proj-in	audio	lq-proj-in|lq proj in	LQ Projector Input	低质量投影输入模块	audio|projection	60
mmaudio-large-44k	audio	mmaudio|large|44k	Mmaudio Large 44K	Mmaudio Large 44K (audio)	audio|mmaudio	60
mmaudio-large-44k-nsfw-gold-8.5k-final	audio	mmaudio|large|44k|nsfw|gold	Mmaudio Large 44K Nsfw Gold 8.5K Final	Mmaudio Large 44K Nsfw Gold 8.5K Final (audio)	audio|mmaudio	60
mmaudio-synchformer	audio	mmaudio|synchformer	Mmaudio Synchformer	Mmaudio Synchformer (audio)	audio|mmaudio	60
mmaudio-vae-44k	audio	mmaudio|vae|44k	Mmaudio Vae 44K	Mmaudio Vae 44K (audio)	audio|mmaudio	60
model	audio	model	Model	Model (audio)	audio|audiodit	60
s3fd-619a316812	audio	s3fd|619a316812	S3Fd 619A316812	S3Fd 619A316812 (audio)	audio|latentsync	60
speech-tokenizer	audio	speech|tokenizer	Speech Tokenizer	Speech Tokenizer (audio)	audio|cosyvoice	60
speech-tokenizerbatch	audio	speech|tokenizerbatch	Speech Tokenizerbatch	Speech Tokenizerbatch (audio)	audio|cosyvoice	60
tcdecoder	audio	tcdecoder	TCDecoder	音频时间码解码器	audio|codec	75
tiny	audio	tiny	Tiny	Tiny (audio)	audio|latentsync	60
wan2-1-flashvsr-lq-proj-model	audio	wan2-1-flashvsr-lq-proj|lq-proj|flashvsr	Wan FlashVSR LQ Projector	Wan FlashVSR 低质量投影器	audio|projection	70
wan2-1-flashvsr-tcdecoder-fp32	audio	wan2-1-flashvsr-tcdecoder|tcdecoder-fp32	Wan FlashVSR TCDecoder FP32	Wan FlashVSR 时间码解码器 FP32	audio|codec|fp32	70
wan2-1-t2v-1-3b-flashvsr-fp32	audio	wan2-1-t2v-1-3b-flashvsr|t2v-3b|flashvsr-fp32	Wan T2V 1.3B FlashVSR FP32	Wan 文生视频 1.3B FlashVSR FP32	audio|video|fp32	65
wan2-1-t2v-1.1-3b-flashvsr-fp32	audio	wan2-1-t2v-1.1-3b-flashvsr|t2v-1.1-3b	Wan T2V 1.1 3B FlashVSR FP32	Wan 文生视频 1.1 3B FlashVSR FP32	audio|video|fp32	65
id	category	keywords	display_name	description	tags	priority
byt5-small-glyphxl	clip	byt5|small|glyphxl	Byt5 Small Glyphxl	Byt5 Small Glyphxl (clip)	clip|clip	85
clip-g	clip	clip_g|clip g|g	CLIP G	CLIP G 文本编码器	clip|text-encoder|sd3	90
clip-g-hidream	clip	clip|g|hidream	Clip G Hidream	Clip G Hidream (clip)	clip|text-encoders	60
clip-l	clip	clip_l|clip l|l	CLIP L	CLIP L 文本编码器	clip|text-encoder|sd3	90
clip-l-hidream	clip	clip|l|hidream	Clip L Hidream	Clip L Hidream (clip)	clip|text-encoders	60
clip-vision-h	clip	clip|vision|h	Clip Vision H	Clip Vision H (clip)	clip|clip-vision	60
clip-vit-h-14-laion2b-s32b-b79k	clip	clip|vit|h|14|laion2b	Clip Vit H 14 Laion2B S32B B79K	Clip Vit H 14 Laion2B S32B B79K (clip)	clip|clip-vision	60
clip-vit-large-patch14-model	clip	clip|vit|large|patch14|model	Clip Vit Large Patch14 Model	Clip Vit Large Patch14 Model (clip)	clip|clip	85
eva02-clip-l-336-psz14-s6b	clip	eva02|clip|l|336|psz14	Eva02 Clip L 336 Psz14 S6B	Eva02 Clip L 336 Psz14 S6B (clip)	clip|clip	85
full-encoder-small-decoder	clip	full-encoder-small-decoder|full encoder small decoder	Full Encoder Small Decoder	完整编码器小型解码器架构	clip|custom	75
gemma-3-12b-it	clip	gemma-3-12b|gemma 3 12b|it	Gemma 3 12B IT	Gemma 3 12B 指令微调文本编码器	gemma|text-encoder|12b	100
gemma-3-4b-it	clip	gemma|3|4b|it	Gemma 3 4B It	Gemma 3 4B It (clip)	clip|text-encoders	60
jina-clip	clip	jina|clip	Jina Clip	Jina Clip (clip)	clip|text-encoders	60
llama-3.1-8b-instruct	clip	llama|3.1|8b|instruct	Llama 3.1 8B Instruct	Llama 3.1 8B Instruct (clip)	clip|text-encoders	60
ltx-2.3-text-projection	clip	ltx-2.3-text|ltx 2.3 text|projection	LTX 2.3 Text Projection	LTX 2.3 文本投影编码器	ltx|text-encoder	90
mistral-3-small-flux2	clip	mistral|3|small|flux2	Mistral 3 Small Flux2	Mistral 3 Small Flux2 (clip)	clip|text-encoders	60
model	clip	model	Model	Model (clip)	clip|clip	85
model-00001-of-00002	clip	model|00001|of|00002	Model 00001 Of 00002	Model 00001 Of 00002 (clip)	clip|Qwen3-ASR	60
model-00002-of-00002	clip	model|00002|of|00002	Model 00002 Of 00002	Model 00002 Of 00002 (clip)	clip|Qwen3-ASR	60
model.fp16	clip	model.fp16	Model.Fp16	Model.Fp16 (clip)	clip|clip	85
open-clip-model	clip	open|clip|model	Open Clip Model	Open Clip Model (clip)	clip|clip	85
pytorch-model	clip	pytorch|model	Pytorch Model	Pytorch Model (clip)	clip|florence2	60
qwen-0.6b-ace15	clip	qwen-0.6b|qwen 0.6b|ace15	Qwen 0.6B ACE15	Qwen 0.6B ACE 专用模型	qwen|llm|0.6b	80
qwen-1.7b-ace15	clip	qwen-1.7b|qwen 1.7b|ace15	Qwen 1.7B ACE15	Qwen 1.7B ACE 专用模型	qwen|llm|1.7b	85
qwen-2.5-vl-7b	clip	qwen-2.5-vl|qwen25vl|7b	Qwen 2.5 VL 7B	Qwen 2.5 视觉语言 7B 模型	qwen|vl|7b	95
qwen-3-4b	clip	qwen-3-4b|qwen3 4b	Qwen 3 4B	Qwen 3 4B 语言模型	qwen|llm|4b	90
qwen-3-8b	clip	qwen-3-8b|qwen3 8b	Qwen 3 8B	Qwen 3 8B 语言模型	qwen|llm|8b	95
qwen-4b-ace15	clip	qwen|4b|ace15	Qwen 4B Ace15	Qwen 4B Ace15 (clip)	clip|clip	85
qwen2.5-3b-instruct	clip	qwen2.5|3b|instruct	Qwen2.5 3B Instruct	Qwen2.5 3B Instruct (clip)	clip|text-encoders	60
qwen2.5vl-7b-bf16	clip	qwen2.5vl|7b|bf16	Qwen2.5Vl 7B Bf16	Qwen2.5Vl 7B Bf16 (clip)	clip|clip	85
qwen3.5-4b	clip	qwen3.5|4b	Qwen3.5 4B	Qwen3.5 4B (clip)	clip|text-encoders	60
sdxl-zavychromaxl 	clip	sdxl|zavychromaxl 	Sdxl Zavychromaxl 	Sdxl Zavychromaxl  (clip)	clip|clip	85
sigclip-vision-patch14-384	clip	sigclip-vision|sigclip vision|patch14|384	SigCLIP Vision Patch14 384	SigCLIP 视觉编码器 384 分辨率	clip|vision	80
t5-v1-1-xxl-encoder-f16	clip	t5|v1|1|xxl|encoder	T5 V1 1 Xxl Encoder F16	T5 V1 1 Xxl Encoder F16 (clip)	clip|clip	85
t5xxl	clip	t5xxl|t5 xxl	T5 XXL	T5 XXL 文本编码器（多版本）	t5|text-encoder|sd3	90
umt5-xxl	clip	umt5-xxl|umt5 xxl	uMT5 XXL	Universal MT5 XXL 编码器	umt5|text-encoder	85
umt5-xxl-enc-bf16	clip	umt5|xxl|enc|bf16	Umt5 Xxl Enc Bf16	Umt5 Xxl Enc Bf16 (clip)	clip|text-encoders	60
umt5-xxl-enc-fp8	clip	umt5|xxl|enc|fp8	Umt5 Xxl Enc Fp8	Umt5 Xxl Enc Fp8 (clip)	clip|text-encoders	60
wav2vec2-large-english	clip	wav2vec2|large|english	Wav2Vec2 Large English	Wav2Vec2 Large English (clip)	clip|audio-encoders	60
control-v11f1p-sd15-depth	controlnet	control-v11f1p-sd15-depth|sd15-depth|depth-control	ControlNet SD15 Depth	SD1.5 深度控制网	controlnet|depth|sd15	85
controle-sd15-ip2p	controlnet	controle|sd15|ip2p	Controle Sd15 Ip2P	Controle Sd15 Ip2P (controlnet)	controlnet|controlnet	80
